cell_name,OP_STD,wk_planned_hc,Routing,schedule_factor
CONTROL-C2,CTLA,8,0.12027,90
CONTROL-C2,CTLB,8,0.10075,90
CONTROL-C2,CTLC,8,0.110088,90
CONTROL-C2,CTLD,8,0.110134,90
CONTROL-C2,CTLE,8,0.110134,90
CONTROL-C2,CTLF,8,0.110134,90
FCUST-C29,FC13,5,0.0266,213
FCUST-C29,FC09,5,0.0146,87
FCUST-C29,FC15,5,0.032396,249
FCUST-C29,FC11,5,0.03,200
FCUST-C29,FC14,5,0.02067,149
FCUST-C29,FC10,5,0.0112,78
FCUST-C29,FC16,5,0.026233,190
FCUST-C29,FC12,5,0.025,300
FCUST-C29,FC76,5,0.01596,111
FCUST-C29,FC01,5,0.014783,45
FCUST-C29,FC03,5,0.013889,41
FCUST-C29,FC04,5,0.0159,52
FCUST-C29,FC05,5,0.040021,124
FCUST-C29,FC06,5,0.03598,107
FCUST-C29,FC07,5,0.04291,106
FCUST-C29,FC08,5,0.03966,113
FCUST-C29,FC77,5,0.03921,109
FCUST-C28,170A,4,0.010647,50
FCUST-C28,170B,4,0.010959,50
FCUST-C28,170C,4,0.014349,58
FCUST-C28,170D,4,0.01387,57
FCUST-C28,170E,4,0.016739,70
FCUST-C28,170F,4,0.01673,70
FCUST-C28,170G,4,0.015965,74
FCUST-C28,170H,4,0.019943,122
FCUST-C28,170P,4,0.01114,49
SENSE-C9,479A,5,0.151254,68
SENSE-C9,479B,5,0.146774,68
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
FG-C188,FGPB,4,0.04171,58
FG-C188,FGPI,4,0.01863,42
FG-C18,FGPA,4,0.041342,68
FG-C18,FGPG,4,0.039433,65
FG-C10,F62B,12,0.090264,95
FG-C10,F62G,12,0.073114,97
FG-C10,F62H,12,0.081594,97
FG-C10,FGPC,12,0.083279,95
FG-C10,FGPE,12,0.082912,97
NEXIA-C3,F595,11,0.099882,95
NEXIA-C3,F599,11,0.159341,94
HIOC-C34,FGPM,2,0.07365,27
HIOC-C34,H285,2,0.10299,38
HIOC-C34,H58A,2,0.07762,44
HIOC-C34,H58B,2,0.0708,45
HIOC-C34,H59A,2,0.10473,43
HIOC-C34,H59B,2,0.1052,43
HIOC-C34,H60A,2,0.12592,46
HIOC-C34,H60B,2,0.13543,51
HIOC-C34,H92A,2,0.06628,48
HIOC-C34,H92B,2,0.0761,55
HIOC-C34,H93A,2,0.11343,57
HIOC-C34,H93B,2,0.08593,44
